Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
3/14/25,136.75,138.5,136.5,137.5,103,513332,70578150.5
3/12/25,138.5,138.5,132,136.5,135,650407,87999185
3/11/25,136.25,136.25,130,133,296,451646,60759673.5
3/10/25,135,140,135,138,95,102719,14175357.5
3/7/25,140,140.25,138,140,123,774888,108437559.3
3/6/25,138.5,142,138,140.5,209,410792,57519676.75
3/5/25,131.5,138,131.25,137.25,209,694674,95222449.25
3/4/25,133,133.5,130.25,132.75,212,148447,19634325
3/3/25,137,137.5,132.5,133,246,61668,8329057
2/28/25,137.5,138,137,137.5,86,53303,7320518.75
2/27/25,136,138.5,136,137,136,168527,23050359.75
2/25/25,139.25,139.5,136,136.25,248,303384,41446369
2/24/25,140.25,141,138,139.5,182,171098,23840340.5
2/21/25,141.25,144,140,140.5,165,143910,20330726.5
2/20/25,143,143,141,141.5,186,352110,49952856.25
2/19/25,145.5,146.5,141.5,143,208,206037,29580822.75
2/18/25,149,149.25,144,145.5,361,516615,75716184.25
2/17/25,141.5,148,141.5,147,409,901088,130925881.8
2/14/25,137.75,142.75,137.75,141.75,519,1303253,182862102.3
2/13/25,133,136,133,135.75,135,525964,70932672.25
2/11/25,135.75,135.75,132,134,256,365755,49143215.5
2/10/25,138.5,139,135,135.75,173,231724,31473047.25
2/7/25,138.5,139,135,138.5,195,209086,28632581.75
2/6/25,135,139.5,134.75,138,304,615465,84764898.75
2/5/25,140,140,135,137.25,450,895800,123410786.8
2/3/25,142,142.5,139.5,140,204,382157,53660323
1/31/25,141,144,140,142,180,228373,32425886.25
1/30/25,143.25,143.75,141.75,142,165,162826,23221263.25
1/29/25,140,146,140,143.25,427,488976,70380337.5
1/28/25,142,142.5,139.75,140.25,217,266856,37727714.75
1/27/25,138.5,142.5,136.5,142,317,474924,66783258.75
1/24/25,140,142,136,139.25,299,194806,27166739.5
1/23/25,134.75,142.75,134,141,684,1336768,186247416.5
1/22/25,134,136.5,131.25,135,391,876640,118386706.3
1/21/25,131,135,129.5,132,318,303319,40038484.75
1/20/25,130,131,129,129.5,222,295195,38282161.25
1/17/25,129.25,130,128.75,129,239,426840,55117713.25
1/16/25,131,131,129.25,130.25,180,285126,37139856.5
1/15/25,128,131,126.75,130,202,396281,51474948.75
1/10/25,127.5,130,122.25,128,341,324730,40791200.75
1/9/25,129.75,132,127.5,128.25,220,269261,34995646
1/8/25,126.5,132.5,126.5,129.5,258,410677,53564004.25
1/7/25,129.5,130,125,129.25,382,438142,55890870.5
1/6/25,132.5,132.5,125,129.75,727,976637,124251731
1/3/25,133.5,137,125,128.5,820,1126407,148945447.8
1/2/25,130.75,134.5,130,134,493,485730,64143940
12/31/24,128.25,132,128,131.25,667,1037017,134744153.8
12/30/24,126,128.75,125.25,128,429,808753,103320347.5
12/27/24,126,126.75,124,125.25,327,559343,70078495.75
12/26/24,123.5,128.5,123.5,126,554,735246,92952746.5
12/24/24,117.25,125,116,123.75,826,1312849,157665890.3
12/23/24,118.5,119,117.25,118,335,551272,65131983.5
12/20/24,118.5,119,118,118.5,223,272887,32292528.75
12/19/24,118.5,118.75,117,118,163,130409,15364932
12/18/24,117,119.25,117,118.5,269,425612,50294772
12/17/24,118,119.25,116,118.25,314,696991,82147764.75
12/16/24,118,119,116.5,118.75,336,858182,101440269.8
12/13/24,118,118.75,117,118,299,576730,68113774.5
12/12/24,117,118.25,117,118,258,356547,41939691.75
12/11/24,117,117.5,116,117,301,635555,74376996.5
12/10/24,115.5,118.25,115,117,529,715177,83257993.5
12/9/24,110,116.25,109.75,115.25,972,3069109,347856977.5
12/6/24,105,110.25,105,109,387,657312,71583018.5
12/5/24,108,108,106,106,190,146367,15679154
12/4/24,105,107.5,104.25,107,287,730276,77836834.75
12/3/24,102.5,105.5,102.5,105.25,142,228965,24050003.25
12/2/24,102,105,101.75,104.75,133,327282,34133076.25
11/29/24,104,105,102,102.75,142,47987,4947532.25
11/28/24,102.5,105.25,102.5,104.75,168,294951,30907256.5
11/27/24,103,104,102.5,103.75,85,62149,6423435
11/26/24,101.75,103,101.5,102,91,104103,10627885.25
11/25/24,102.75,103.5,101.25,101.5,164,326564,33230646
11/22/24,102,103,102,102.5,118,155733,15999159.75
11/21/24,104,104,102,102,195,141642,14468303.25
11/20/24,103.75,104,103,103.75,76,61791,6396878
11/19/24,104.5,105,103.5,103.75,117,115003,11962332
11/18/24,105.5,107.5,104,104.5,259,484148,51103089.75
11/14/24,106,106.5,104.25,105,149,213056,22476535.25
11/13/24,104,104.75,103.25,104,158,235713,24520187
11/12/24,101.75,104,101.75,103.75,128,204367,21032759.75
11/11/24,103,103,101.75,102,150,78506,8022558.75
11/8/24,102.5,104,102.5,103,144,84570,8729147.25
11/7/24,104,104,102.5,103.25,132,95062,9806276.25
11/6/24,103.5,104.75,103,104,133,100462,10390204.25
11/5/24,105,105.5,103,104,128,137248,14313384.5
11/4/24,105,105.5,104,105,138,184431,19352033.25
11/1/24,106.25,106.25,105,105.25,147,177600,18698792.75
10/30/24,104.25,106.5,103.75,106,278,5044643,534284221.3
10/29/24,105,106,103.5,104,192,159360,16589828.5
10/28/24,106,106.25,104,105,161,1447208,153372590
10/25/24,105.5,107.25,105.25,106,319,729896,77532680.25
10/24/24,102,106.25,102,105.5,355,8530425,903925041.5
10/23/24,102.75,104,101.25,103,123,772367,79971706
10/22/24,101.25,103.5,100.75,102,144,140155,14254477.25
10/21/24,103.75,103.75,101.25,101.5,139,48124,4914278.5
10/18/24,103.75,103.75,102.75,103.5,87,56213,5805600.25
10/16/24,103,104,102.75,103.5,108,216031,22352845
10/15/24,105,105,103,103,145,204566,21151982
10/14/24,105,105.25,103.5,103.75,145,186410,19387228.25
10/11/24,106.25,107.5,104,105.25,266,275822,29170370
10/10/24,102.5,106.5,102.5,105.75,365,1302786,136305991.3
10/9/24,105.5,106.75,102,102.75,361,487580,51018286.5
10/8/24,99.6,105.5,99,104.75,569,1168331,121216028
10/7/24,99.6,101,98.5,100.25,222,475060,47521108.8
10/4/24,98.2,100,98,99.4,150,544692,53797637.9
10/3/24,98.5,99.9,98.1,98.4,164,322181,31831826.5
10/2/24,101.75,101.75,99,99.8,179,501501,50123251.4
10/1/24,100,102.5,99,101.75,249,800125,81085754.25
9/30/24,100,102,99.1,99.8,244,514780,51639454.7
9/27/24,98,103.75,96.8,99.8,291,723223,72010268.7
9/26/24,97.5,100,95.3,96.7,372,557608,54705863.7
9/25/24,94.9,97.4,94.4,96.5,316,503257,48296710.3
9/24/24,93,94.9,93,94.4,264,402260,37690431
9/23/24,90.9,93.4,89,93,166,291952,26995729.7
9/20/24,92,92,91,91.4,160,149872,13689899.9
9/19/24,91,92.5,90.7,91.5,147,167325,15324141.2
9/18/24,88.5,91.3,88.5,91,152,380531,34307216.6
9/13/24,87.7,88.6,86.8,88.3,260,794889,70150088.6
9/12/24,88.5,88.6,87.6,88,155,136726,12049949.3
9/11/24,88.9,89,88,88.1,95,183030,16142171.6
9/10/24,90,90,88,88.1,122,47055,4159836.7
9/9/24,90.5,92.8,89.7,89.9,97,107595,9689264.6
9/6/24,92.9,92.9,90.7,91.9,22,8726,799977.7
9/5/24,92,94.5,90,92.9,160,269708,24651648.6
9/4/24,88.4,92,88.4,91.5,158,160210,14384451.4
9/3/24,88,88.4,86,87.9,222,272436,23697039.5
9/2/24,89.3,89.3,88,88,254,692027,60942213.5
8/30/24,89.9,90.5,89.4,89.9,142,195291,17551687.8
8/29/24,90.8,90.8,89.6,90,179,1671915,148275276.7
8/28/24,92.9,92.9,89.9,90,251,191471,17264734
8/27/24,94,94,91.5,91.9,190,100009,9233251.3
8/26/24,94.1,94.1,93,93.1,155,572300,53750310.5
8/23/24,94.8,95,94,94,101,346261,32556217
8/22/24,95,95,94.5,94.6,72,45188,4275812.2
8/21/24,94.8,95.6,94.6,95,89,137998,13103824.5
8/20/24,96,96,94.8,94.8,106,46576,4424342.1
8/16/24,96.5,96.5,95,95.8,109,51009,4865664.5
8/15/24,95,96.8,95,95.9,116,137743,13217601.7
8/14/24,94.9,94.9,93.7,94.1,183,729812,68622313.6
8/13/24,93.6,94.9,93.6,94.2,122,231338,21789763.7
8/12/24,96,96,93.5,94,143,36962,3487453.9
8/9/24,95,96,94.2,95.8,93,71983,6856508.9
8/8/24,96,96,95,95,139,215937,20561950.5
8/7/24,96.5,96.5,95.6,95.7,96,55731,5350226.9
8/6/24,95.9,97.5,95.9,96.5,77,192762,18600207.6
8/5/24,99.2,99.2,95.3,95.6,212,432133,41431975.2
8/2/24,99.3,99.5,99,99.2,72,44054,4370113.1
8/1/24,100,100,99,99.2,44,33919,3364482.2
7/31/24,99.1,99.8,98.6,99,101,303694,30068412
7/30/24,100.25,102,100,100,127,434832,43565360
7/29/24,102,102,100.5,101,100,267473,27075234.75
7/26/24,102,102.5,100.5,102,62,63469,6463021.75
7/25/24,100.5,102,100.25,101,84,286728,28974156.5
7/24/24,100.75,101.75,100,101.5,76,65070,6591461.25
7/23/24,99.8,101,99.5,100.75,169,228198,22812703.65
7/22/24,101,101,99.8,100,245,924600,92478106
7/19/24,102,102,100,101,140,2844800,288818475.8
7/18/24,101.5,102.5,100,100.25,130,761177,76938490.75
7/17/24,101.5,102,100.25,101.5,139,1551498,156742492.5
7/16/24,102,102,100.25,101.25,136,659279,66586582.25
7/15/24,100,102.25,100,101.25,106,84477,8542338
7/12/24,98.2,101.25,98.2,101,235,510503,51047860.8
7/11/24,100,100,98.5,99,119,78618,7785169.4
7/10/24,98.8,100,98.8,99.9,138,190082,18852507.2
7/9/24,99.1,99.1,97.8,98.4,313,321201,31565095.6
7/8/24,102,102,99.2,99.4,225,190755,19072382
7/5/24,101.25,102.5,100.75,102,159,189327,19198576.75
7/4/24,101.5,103,100.75,101.25,334,609349,62037429.25
7/3/24,105.25,105.25,101.5,102,430,807790,83262280.25
7/2/24,105,106.25,105,105.5,148,210967,22300996.75
7/1/24,106.5,106.5,104,105,220,1339485,140616302.5
6/28/24,105.5,107,104.5,106.25,205,907836,95919148.25
6/27/24,106.25,106.5,104.25,105.5,234,537267,56454994
6/26/24,106,108.25,106,106.5,374,2058737,220978014.3
6/25/24,106,106.5,105.25,106,162,651957,68695055.75
6/24/24,105,107.5,105,105.75,350,835950,88602280
6/20/24,103.75,105.75,103.75,105,278,383086,40142943.5
6/19/24,103.25,104.5,102.5,103.75,228,894202,92219544.25
6/18/24,104.75,104.75,103.25,103.5,265,355726,37019020
6/14/24,106,106,103.5,104.75,509,736683,77001998.75
6/13/24,109,109,105.25,106,534,950535,101950447.3
6/12/24,105.25,108.75,105,108,1171,1759497,188799418.3
6/11/24,101.25,106.75,101,105.25,1674,10089197,1056809647
6/11/24,101.25,106.75,101,105.25,1674,10089197,1056809647
6/10/24,96.6,101.5,96.6,100.25,1008,1854589,184171105.9
6/7/24,95.1,96.7,95,96.1,356,464134,44374043.8
6/6/24,95,95.5,94.5,95,260,867573,82435565.5
6/5/24,95,95.3,94.1,94.6,99,45614,4309945.9
6/4/24,94.4,95.4,93.9,94.6,325,902374,85594993.4
6/3/24,93.1,94.4,93,94,197,375366,35052266.5
5/31/24,93,93.8,92.5,93.1,146,319814,29768175.2
5/30/24,91.6,93.8,91.6,92.9,86,113405,10480794.5
5/29/24,92.7,92.7,91.5,92,115,130169,11963037.5
5/28/24,93.5,93.9,91.8,92.5,129,135112,12475692.2
5/27/24,94.5,94.7,93,93.6,107,65107,6115891.3
5/22/24,92.9,94.9,92,93.8,264,633119,59302914.9
5/21/24,92.7,93,90.6,92.6,157,296933,27302184.3
5/20/24,93,94,90.5,92.7,351,794716,73464259.8
5/17/24,91.8,92.8,91.5,92.4,194,218823,20126159.5
5/16/24,91,92.5,91,91.2,148,342722,31232090.8
5/15/24,91.7,93,91,91.1,235,372361,34128002.1
5/14/24,93.4,93.6,91.2,91.9,302,230551,21211901.1
5/13/24,94.1,94.1,92.5,93.3,185,530927,49312305.4
5/10/24,93,94.4,93,94.1,192,827466,77654745
5/9/24,94.5,94.5,92.1,93.5,349,390536,36352923.3
5/8/24,93.2,96.9,93.2,94.8,485,1124780,107219988.2
5/7/24,93,93.4,92.8,93.1,235,192408,17900706.1
5/6/24,93.9,94.5,92,92.9,479,376456,34908792.6
5/3/24,94.7,94.9,93.3,94.1,436,359204,33827172.3
5/2/24,91,95.7,91,93.9,1023,4462778,417834990.6
4/30/24,90,91.5,88,91,518,507707,45881520.1
4/29/24,86,90.7,86,90,945,2180775,191911540.9
4/26/24,85,86.5,83,83.3,412,6112755,508499821.9
4/25/24,84.9,86,83.5,85,267,470032,39897754
4/24/24,82.5,85,82.5,84.9,372,434875,36597765.5
4/22/24,81.5,81.9,81,81.1,155,90426,7341603.2
4/19/24,80.7,81,80,80.5,250,219565,17619570.4
4/18/24,82.4,83,81.1,81.2,237,207418,16851187.2
4/17/24,82,84,81,82.7,226,113171,9290794.5
4/16/24,83.5,84,82,82.5,341,406459,33713035.1
4/15/24,85.5,85.5,83,83.4,302,179556,15093203.3
4/10/24,86,86.2,84.6,85.7,341,214855,18383464.7
4/9/24,88.9,89.9,87.9,89.3,463,1230503,109034268.2
4/8/24,88.5,89.4,88,88.6,262,506814,44893186.9
4/5/24,87,89,86.8,88.5,266,612932,53943166.8
4/4/24,86.2,88,86,87.2,257,364420,31769564.6
4/3/24,85.8,86.2,85,86,233,2679978,228066585.1
4/2/24,85.4,86,85.2,85.6,327,1092122,93209622.5
4/1/24,83,85.9,83,85.1,552,718368,61141915.5
3/28/24,82.6,83,82,82.1,249,286624,23599554.4
3/27/24,83,83.2,82,82.2,243,292637,24192372.4
3/26/24,83.5,84,82.5,82.7,197,834098,68542189.4
3/25/24,84,84.4,82.6,83,186,298094,24764633.7
3/22/24,82.6,84,82.4,83.8,216,2535950,210639570.3
3/21/24,83.9,83.9,82,82.3,315,261854,21600327
3/20/24,83.2,84.4,83,83.9,106,162578,13519653.5
3/19/24,85.8,85.8,83.2,83.3,153,361938,30538837.4
3/18/24,86,86,84,85,149,115798,9841789
3/15/24,85.6,86.2,85,85.5,107,111562,9542560
3/14/24,85.5,86.5,85.4,85.6,116,71405,6152092.2
3/13/24,83,86.4,82.9,85.3,327,2136456,179643064.9
3/12/24,84.5,84.5,82.9,83.1,204,183256,15294263.5
3/11/24,84.4,85,83.8,83.9,167,180268,15213413.3
3/7/24,83,84.9,83,84.6,195,392063,32985072.7
3/6/24,83,84,82.5,83.7,145,84089,6988374.3
3/5/24,84.3,85,82.6,83.1,167,163828,13816996.8
3/4/24,81.6,84.5,81,83.8,242,546100,44996817.9
3/1/24,81.6,81.6,80,81.4,81,72349,5869420.6
2/29/24,82,82,80.4,81.1,110,76327,6209062.5
2/28/24,79.5,83,79.5,82,390,958892,78122166.7
2/27/24,76.5,79.8,76.5,78.6,146,1262946,97278903.2
2/26/24,77,77,76,76.5,104,1068647,82248803.8
2/22/24,76.3,77.2,76.3,76.6,48,20969,1603641.1
2/21/24,76.9,77.2,76,77.1,89,83359,6413541.8
2/20/24,77,77,76,76.5,64,774082,59214807.8
2/19/24,76.5,77.1,76,76.9,85,205422,15621983.8
2/16/24,76.8,77,76.2,76.9,40,29229,2249190.8
2/15/24,76.5,77,75.5,76.2,59,68338,5247469
2/14/24,75.1,77.3,75.1,76.5,86,48166,3701220.9
2/13/24,75.2,76,75,75.1,76,52356,3936029.2
2/12/24,76.4,76.5,75,75.2,89,93164,6995179.6
2/9/24,77.5,77.5,76.4,76.5,44,9923,761219.1
2/8/24,75.6,78,75.6,77.5,153,96116,7453149
2/7/24,75,75.6,74.9,75,94,217464,16316168.5
2/6/24,74,75.5,73.6,75,109,87399,6513534.9
2/2/24,73.9,73.9,73,73.1,94,83212,6085784.4
2/1/24,73,73.9,72.9,73.5,78,278212,20415918.9
1/31/24,73.5,73.8,72.7,73.2,63,14956,1095786.9
1/30/24,74,74,72.8,73.1,55,45776,3342813
1/29/24,74.5,74.5,72.8,73,73,53465,3913815.4
1/26/24,73,74.5,73,73.1,79,57058,4190829.9
1/24/24,72.5,73.6,72.5,73,71,42721,3115998
1/23/24,73,73.6,72.7,73,94,78483,5714343.4
1/22/24,73.5,73.7,73,73.4,80,144545,10601494.1
1/19/24,74,74,73.5,73.5,52,23501,1728154.6
1/18/24,73.5,74,73,73.8,67,26119,1919558.6
1/17/24,74.5,74.5,73.5,73.5,66,70172,5163931.2
1/16/24,74.7,74.9,74,74.3,61,110111,8174970.9
1/12/24,74.5,76,74.5,74.9,41,25478,1924941.5
1/11/24,75.5,75.5,74,74,77,83736,6202821.5
1/10/24,76,76,74.2,74.5,67,131561,9828191.5
1/9/24,76,76.6,75.5,76,87,321231,24414379.8
1/8/24,76.5,77.3,75.5,75.7,122,336749,25617936.4
1/5/24,74.5,77,74.5,76.7,139,125627,9517871.9
1/4/24,74.9,74.9,74.2,74.5,78,308162,22969105.7
1/3/24,74.5,74.9,73.7,74.6,119,91918,6810509.7
1/2/24,71.6,74.5,71.6,73.4,96,42284,3096993.6
12/29/23,71.5,71.5,71,71.4,169,761281,54058924.3
12/28/23,71,72,70.9,71.5,105,86938,6233500.2
12/27/23,72,72,71,71,180,44141,3158474.2
12/22/23,73,73,71.7,71.9,157,58885,4244350.1
12/21/23,72.6,74,72.6,73.1,44,16613,1217251.1
12/20/23,71.8,73,71.8,72.5,84,30454,2208261.5
12/19/23,74.5,74.5,71,71.8,262,97271,7067364.5
12/18/23,74.8,74.8,73.8,74.1,64,25004,1852502.7
12/15/23,74.4,74.5,73.9,74.2,65,68781,5107356.9
12/14/23,74.8,74.8,73.8,74,81,48318,3594200.9
12/13/23,74,75.5,73.5,74.2,154,90071,6655209.7
12/12/23,75.5,75.5,73.8,74.3,185,221223,16480607
12/11/23,75,75.5,73.9,75,168,259203,19371366.8
12/8/23,74,75,73.9,74,235,614486,45492585.2
12/7/23,75,75,73.5,73.8,130,59121,4377459.2
12/6/23,74.9,75,74,74.3,95,18839,1399590.4
12/5/23,75.5,75.5,74.2,74.4,135,155190,11570383.5
12/4/23,75,75.5,74.7,74.7,198,186072,13949643.4
12/1/23,75.3,76,74.7,75,124,83186,6238730.6
11/30/23,75,75.4,74.8,75,120,96913,7271494
11/29/23,75.2,75.2,74.9,75,90,59518,4463284.8
11/28/23,75.2,76,74.8,74.9,151,91124,6845444.1
11/27/23,76,76,75.3,75.5,81,119292,9021229.9
11/24/23,76.9,76.9,74.8,75,135,356364,26818801.7
11/23/23,75.5,76,74.9,75,176,124209,9320758.2
11/22/23,76.9,79,75,75.9,129,211148,16012467.6
11/21/23,75.9,76.9,75,75.1,166,518121,39141621.5
11/20/23,76,76.9,75.4,75.7,119,46163,3508972.3
11/17/23,75.5,77,75.5,76,128,88890,6754000.9
11/16/23,77,77,74.5,75.5,332,305443,23006020.3
11/15/23,78.6,79,76.7,76.9,429,399937,31016212.7
11/14/23,80.9,80.9,78.5,78.8,379,359837,28585679.7
11/13/23,81.4,81.8,80.1,80.4,337,272978,22006385.5
11/10/23,83.8,83.8,81.4,81.8,198,154793,12671934.3
11/9/23,84.4,84.4,81.5,82.3,154,38778,3201682.7
11/8/23,85,85.9,83,84.4,101,100107,8403262.6
11/7/23,84.9,86,84,84.2,152,253339,21476335.8
11/6/23,85,86,84.5,85.1,79,83296,7081528.1
11/3/23,86.4,86.5,84,84.9,67,96516,8250845.6
11/2/23,84,87,83.5,86,155,320260,27462231.1
11/1/23,82,83.5,82,83.5,63,43679,3626473.4
10/31/23,84.1,84.3,82,82.7,114,105079,8670445.4
10/30/23,85.8,85.8,83.5,83.7,68,49323,4126076.7
10/27/23,84,85.6,82.9,85.1,95,207527,17581929.5
10/26/23,82.4,82.6,81,81.9,132,68014,5552446.5
10/25/23,83.5,84,81.5,81.6,236,263807,21552756.7
10/24/23,86.9,86.9,83.5,83.6,165,428442,35659347.7
10/23/23,88,88,85,85.3,112,93840,8094516
10/20/23,82.6,85.7,82.6,85,166,145837,12376221.5
10/19/23,82,83.6,81,83,210,140183,11479712.3
10/18/23,85,85,82,82.3,257,151950,12617814.8
10/17/23,86.2,86.9,84.5,85,152,200148,17117604.4
10/16/23,88.1,88.7,86.3,86.5,143,165247,14365204.7
10/13/23,88.6,89,88,88.1,112,162336,14348856.8
10/12/23,86.5,89,86,88.5,105,362486,32097332.5
10/11/23,89,89,86.5,87,141,70668,6159267.9
10/10/23,89,90,88,88.1,170,501543,44280815.5
10/9/23,89.3,89.9,85.5,88,283,1248548,109664662.8
10/6/23,89.5,90,89,89.5,92,186354,16643404.6
10/5/23,91,91.5,89.2,89.5,132,191214,17277570.5
10/4/23,90,91.3,88,90.9,201,144704,12915527.7
10/3/23,91.5,91.8,89.5,89.8,260,218212,19683748
10/2/23,92.9,92.9,91,91.5,161,95985,8807547
9/27/23,93.5,93.8,92.9,93,96,579624,54062319.1
9/26/23,92,93.5,92,93.5,86,44091,4110363.9
9/25/23,93,93.4,92,93,90,98585,9142784.8
9/22/23,92.2,93,92,92.8,132,260491,24157297.9
9/21/23,94,94.4,92.1,92.5,160,102470,9537335.7
9/20/23,93.3,94.1,93,93.4,69,53961,5042552.7
9/19/23,94.2,94.2,93,93.4,192,163353,15289596.6
9/18/23,95.7,96.9,94,94.3,150,182278,17291837.5
9/15/23,97.3,97.6,95.5,96.6,209,261366,25471591.4
9/14/23,95.1,97.9,95,97.2,482,1072437,103653982.9
9/13/23,93.5,95.4,93.5,95,271,1222141,116098935.2
9/12/23,94.5,95.4,93.5,93.8,194,583137,55149344.7
9/11/23,94,94.5,93.4,94.4,159,405514,38116120.8
9/8/23,93.3,94.3,92.5,94,171,148564,13946420.1
9/7/23,92.5,94,92,93.8,148,207930,19395705.3
9/6/23,94.4,94.4,92,92.6,329,353327,32746183.8
9/5/23,96.3,96.3,93.6,94.1,358,257113,24380061.8
9/4/23,95,96.5,94.6,96,751,1110920,106577174.8
9/1/23,90.2,95.9,90,94.9,1310,3337477,310713984
8/31/23,88.5,90.8,88.5,90.2,297,662633,59558565.7
8/29/23,88.5,90,88.1,88.4,109,60117,5325190.2
8/28/23,90.8,91.7,88,88.8,371,256958,23268081.4
8/25/23,86.5,91.1,86.4,90.6,447,1003630,90263817.3
8/24/23,87,87.5,86,86.9,72,34520,2991093.6
8/23/23,86,87.7,85.5,86.7,200,775697,66932966.5
8/22/23,86,86.9,85.5,86,161,288202,24802710.1
8/21/23,88.4,88.4,85.9,86,250,367791,31832436.5
8/18/23,88,88,86.2,87.5,214,418284,36415422.5
8/17/23,89.1,89.1,86.6,88,220,454706,39765618.8
8/16/23,88,89.2,87.2,89.1,223,318108,28212256.1
8/15/23,89.4,89.4,87.5,88.4,223,453815,40118246.5
8/14/23,88.5,90.2,85.1,89.7,921,1719572,152027900
8/11/23,88.5,91.7,88,90.6,666,1216249,109854956.5
8/10/23,87,89.6,86.6,88.8,281,472493,41546583.1
8/9/23,87.5,88,86.3,87.6,233,181327,15811122.6
8/8/23,88,88,85.5,86.1,303,260002,22376274.4
8/7/23,86.5,88.5,85.9,87.5,323,409673,35759506.9
8/4/23,87.6,87.6,86.1,86.5,293,442560,38282653.2
8/3/23,87.6,88,86.6,87,454,984606,85692587.7
8/2/23,88.8,89.8,87,87.6,339,532393,46909764.1
7/31/23,87.5,89.9,86.5,89.2,507,1119518,97726099
7/28/23,87,88.4,86.5,87.9,227,296760,26071485.6
7/27/23,85.7,88.5,85.4,86.8,357,417122,36484627.6
7/26/23,89,89,85.9,86,442,588703,50818474.7
7/25/23,88,90.3,86,88.3,497,471946,41639744.8
7/24/23,89.4,90.4,87.8,88.1,446,342971,30566016.5
